,DBN,SCHOOL NAME,Num of SAT Test Takers,SAT Critical Reading Avg. Score,SAT Math Avg. Score,SAT Writing Avg. Score,,ATTN_PCT,LOC_CODE,Borough,DistrictCode
409,27Q309,ACADEMY OF MEDICAL TECHNOLOGY: A COLLEGE BOARD SCHOOL,36,367,379,348,1094,80.56,Q309,Q,27
410,27Q323,SCHOLARS' ACADEMY,89,499,537,496,1532,94.98,Q323,Q,27
411,27Q400,AUGUST MARTIN HIGH SCHOOL,101,377,371,360,1108,71.89,Q400,Q,27
412,27Q410,BEACH CHANNEL HIGH SCHOOL,78,384,396,354,1134,,,,
413,27Q475,RICHMOND HILL HIGH SCHOOL,404,382,404,368,1154,72.39,Q475,Q,27
414,27Q480,JOHN ADAMS HIGH SCHOOL,403,391,409,392,1192,76.17,Q480,Q,27
415,27Q650,"HIGH SCHOOL FOR CONSTRUCTION TRADES, ENGINEERING AND ARCHITECTURE",194,429,491,425,1345,92,Q650,Q,27
,,,,,,,,,,,
417,28Q310,QUEENS COLLEGIATE: A COLLEGE BOARD SCHOOL,68,420,445,400,1265,75.97,Q310,Q,28
,,,,,,,,,,,
419,28Q338,QUEENS SATELLITE HIGH SCHOOL FOR OPPORTUNITY,6,403,408,367,1178,45,Q338,Q,28
420,28Q350,JAMAICA GATEWAY TO THE SCIENCES,25,430,452,425,1307,83.98,Q350,Q,28
421,28Q440,FOREST HILLS HIGH SCHOOL,762,456,497,454,1407,81.92,Q440,Q,28
