DBN,ATTN_DATE_YMD,ATTN_PCT,LOC_CODE,SCHOOL_NAME,Borough,DistrictCode
03M862,20171122,94.16,M862,MOTT HALL II,M,3
04M007,20171122,79.77,M007,P.S. 007 SAMUEL STERN,M,4
04M012,20171122,92,M012,TAG YOUNG SCHOLARS,M,4
04M037,20171122,87.56,M037,RIVER EAST ELEMENTARY,M,4
04M038,20171122,80.66,M038,P.S. 38 ROBERTO CLEMENTE,M,4
04M050,20171122,83.53,M050,P.S. 050 VITO MARCANTONIO,M,4
04M057,20171122,84.47,M057,JAMES WELDON JOHNSON,M,4
04M072,20171122,85.15,M072,THE LEXINGTON ACADEMY,M,4
04M083,20171122,88.93,M083,P.S. 083 LUIS MUNOZ RIVERA,M,4
04M096,20171122,82.66,M096,P.S. 096 JOSEPH LANZETTA,M,4
04M102,20171122,82.18,M102,P.S. 102 JACQUES CARTIER,M,4
04M108,20171122,83.4,M108,P.S. 108 ASSEMBLYMAN ANGELO DEL TORO EDU,M,4
04M112,20171122,82.58,M112,P.S. 112 JOSE CELSO BARBOSA,M,4
04M146,20171122,84.59,M146,P.S. 146 ANN M. SHORT,M,4
04M155,20171122,92.04,M155,P.S. 155 WILLIAM PACA,M,4
04M171,20171122,86.08,M171,P.S. 171 PATRICK HENRY,M,4
04M182,20171122,94.58,M182,THE BILINGUAL BICULTURAL SCHOOL,M,4
04M206,20171122,89.47,M206,P.S. 206 JOSE CELSO BARBOSA,M,4
04M224,20171122,83.13,M224,M.S. 224 MANHATTAN EAST SCHOOL FOR ARTS,M,4
04M310,20171122,48,M310,THE JUDITH S. KAYE HIGH SCHOOL,M,4
04M372,20171122,77.64,M372,ESPERANZA PREPARATORY ACADEMY,M,4
04M375,20171122,74.69,M375,MOSAIC PREPARATORY ACADEMY,M,4
04M377,20171122,89.79,M377,RENAISSANCE SCHOOL OF THE ARTS,M,4
04M406,20171122,74.79,M406,GLOBAL TECHNOLOGY PREPARATORY,M,4
04M409,20171122,68.59,M409,COALITION SCHOOL FOR SOCIAL CHANGE,M,4
04M435,20171122,86.8,M435,MANHATTAN CENTER FOR SCIENCE AND MATHEMA,M,4
04M495,20171122,89.9,M495,PARK EAST HIGH SCHOOL,M,4
04M497,20171122,86.36,M497,CENTRAL PARK EAST I,M,4
04M555,20171122,81.28,M555,CENTRAL PARK EAST HIGH SCHOOL,M,4
04M610,20171122,90.63,M610,YOUNG WOMEN S LEADERSHIP SCHOOL,M,4
04M680,20171122,66.66,M680,"HERITAGE SCHOOL, THE",M,4
04M825,20171122,86.63,M825,ISAAC NEWTON MIDDLE SCHOOL FOR MATH SC,M,4
04M964,20171122,85.42,M964,CENTRAL PARK EAST II,M,4
05M030,20171122,82.73,M030,P.S. 030 HERNANDEZ HUGHES,M,5
05M036,20171122,76.86,M036,P.S. 036 MARGARET DOUGLAS,M,5
05M046,20171122,79.82,M046,P.S. 046 ARTHUR TAPPAN,M,5
05M092,20171122,81.6,M092,P.S. 092 MARY MCLEOD BETHUNE,M,5
05M123,20171122,83.64,M123,P.S. 123 MAHALIA JACKSON,M,5
05M125,20171122,79,M125,P.S. 125 RALPH BUNCHE,M,5
05M129,20171122,83.33,M129,P.S. 129 JOHN H. FINLEY,M,5
05M133,20171122,83.73,M133,P.S. 133 FRED R MOORE,M,5
05M148,20171122,71.96,M148,EAGLE ACADEMY FOR YOUNG MEN OF HARLEM,M,5
05M154,20171122,83.44,M154,P.S. 154 HARRIET TUBMAN,M,5
05M157,20171122,58.92,M157,THE URBAN ASSEMBLY SCHOOL FOR GLOBAL COM,M,5
05M161,20171122,86.47,M161,P.S. 161 PEDRO ALBIZU CAMPOS,M,5
05M175,20171122,79.75,M175,P.S. 175 HENRY H GARNET,M,5
05M194,20171122,79.83,M194,P.S. 194 COUNTEE CULLEN,M,5
05M197,20171122,75.79,M197,P.S. 197 JOHN B. RUSSWURM,M,5
05M200,20171122,74.55,M200,P.S. 200 THE JAMES MCCUNE SMITH SCHOOL,M,5
05M285,20171122,37.81,M285,HARLEM RENAISSANCE HIGH SCHOOL,M,5
05M286,20171122,74.84,M286,URBAN ASSEMBLY ACADEMY FOR FUTURE LEADER,M,5
05M302,20171122,77.53,M302,KAPPA IV,M,5
05M304,20171122,69.49,M304,MOTT HALL HIGH SCHOOL,M,5
05M318,20171122,78.37,M318,THURGOOD MARSHALL ACADEMY LOWER SCHOOL,M,5
05M362,20171122,94.44,M362,COLUMBIA SECONDARY SCHOOL,M,5
05M367,20171122,63.04,M367,ACADEMY FOR SOCIAL ACTION,M,5
05M369,20171122,81.12,M369,URBAN ASSEMBLY SCHOOL FOR THE PERFORMING,M,5
05M499,20171122,76.09,M499,FREDERICK DOUGLASS ACADEMY,M,5
05M514,20171122,76.15,M514,NEW DESIGN MIDDLE SCHOOL,M,5
05M517,20171122,84.26,M517,TEACHERS COLLEGE COMMUNITY SCHOOL,M,5
05M670,20171122,80.9,M670,THURGOOD MARSHALL ACADEMY FOR LEARNING A,M,5
05M692,20171122,95.38,M692,"HIGH SCHOOL FOR MATHEMATICS, SCIENCE AND",M,5
06M004,20171122,88.39,M004,P.S. 004 DUKE ELLINGTON,M,6
06M005,20171122,89.13,M005,P.S. 005 ELLEN LURIE,M,6
06M008,20171122,89.51,M008,P.S. 008 LUIS BELLIARD,M,6
06M018,20171122,92.59,M018,P.S. 018 PARK TERRACE,M,6
06M028,20171122,91.71,M028,P.S. 028 WRIGHT BROTHERS,M,6
06M048,20171122,92.3,M048,P.S. 048 P.O. MICHAEL J. BUCZEK,M,6
06M052,20171122,90.1,M052,J.H.S. 052 INWOOD,M,6
06M098,20171122,84.74,M098,P.S. 098 SHORAC KAPPOCK,M,6
06M103,20171122,91.45,M103,DOS PUENTES ELEMENTARY SCHOOL,M,6
06M115,20171122,89.07,M115,P.S. 115 ALEXANDER HUMBOLDT,M,6
06M128,20171122,85.68,M128,P.S. 128 AUDUBON,M,6
